route,xD,yD,xF,yF,tmja,tmja1,tmja2,tmja3,tmja4,tmja5
N0006,"841178,77","6632569,28","840669,87","6631445,62",,,,,,
N0006,835834,"6527434,21","837146,27","6526205,04",0.0,0.0,0.0,0.0,0.0,0.0
N0007,"653385,95","6848376,87","653721,12","6846290,02",58400.0,58400.0,58400.0,58367.0,61220.0,57223.0
N0007,"653721,12","6846290,02","653726,99","6846079,51",58400.0,58400.0,58400.0,58367.0,61220.0,57223.0
N0007,"713034,21","6650583,05","712026,63","6647849,65",,,,,,
N0007,"712026,63","6647849,65","710969,74","6639036,4",12712.0,12554.0,12415.0,0.0,12676.0,12359.0
N0007,"710969,74","6639036,4","710235,48","6638468,69",12712.0,12554.0,12415.0,0.0,12676.0,12359.0
N0007,"710235,48","6638468,69","710037,81","6637878,15",12712.0,12554.0,12415.0,0.0,12676.0,12359.0
N0007,"710037,81","6637878,15","709971,34","6637676,52",12712.0,12554.0,12415.0,0.0,12676.0,12359.0
N0007,"709971,34","6637676,52","709869,46","6637362,16",12712.0,12554.0,12415.0,0.0,12676.0,12359.0
N0007,"709869,46","6637362,16","709681,74","6636639,31",12712.0,12554.0,12415.0,0.0,12676.0,12359.0
N0007,"709681,74","6636639,31","709628,73","6636359,76",12712.0,12554.0,12415.0,0.0,12676.0,12359.0
N0007,"709628,73","6636359,76","709448,92","6635366,94",12712.0,12554.0,12415.0,0.0,12676.0,12359.0
N0007,"709448,92","6635366,94","709305,57","6634577,58",12712.0,12554.0,12415.0,0.0,12676.0,12359.0
N0007,"709305,57","6634577,58","709203,36","6634035,91",12712.0,12554.0,12415.0,0.0,12676.0,12359.0
N0007,"709203,36","6634035,91","709118,55","6633529,51",12712.0,12554.0,12415.0,0.0,12676.0,12359.0
N0007,"709118,55","6633529,51","711142,98","6627768,37",14041.0,13866.0,13712.0,0.0,14000.0,13649.0
N0007,"711142,98","6627768,37","711568,04","6627344,84",14041.0,13866.0,13712.0,0.0,14000.0,13649.0
N0007,"711568,04","6627344,84","712195,78","6626710,9",14041.0,13866.0,13712.0,0.0,14000.0,13649.0
N0007,"712195,78","6626710,9","712406,19","6626448,46",14041.0,13866.0,13712.0,0.0,14000.0,13649.0
N0007,"712406,19","6626448,46","712669,25","6626109,67",14041.0,13866.0,13712.0,0.0,14000.0,13649.0
N0007,"712669,25","6626109,67","716979,31","6620589,65",14041.0,13866.0,13712.0,0.0,14000.0,13649.0
N0007,"716979,31","6620589,65","718713,7","6618122,25",18118.0,18117.0,17766.0,0.0,18166.0,17627.0
N0007,"718713,7","6618122,25","718774,73","6618030,68",18118.0,18117.0,17766.0,0.0,18166.0,17627.0
N0007,"718774,73","6618030,68","718824,15","6617955,42",15681.0,15680.0,15376.0,0.0,15722.0,15255.0
N0007,"718824,15","6617955,42","720129,36","6617187,03",15681.0,15680.0,15376.0,0.0,15722.0,15255.0
N0007,"720129,36","6617187,03","721744,83","6614259,91",15681.0,15680.0,15376.0,0.0,15722.0,15255.0
N0007,"721744,83","6614259,91","722602,23","6612662,34",15681.0,15680.0,15376.0,0.0,15722.0,15255.0
N0007,"722602,23","6612662,34","722785,45","6612323,85",15681.0,15680.0,15376.0,0.0,15722.0,15255.0
N0007,"722785,45","6612323,85","723050,2","6611831,38",15681.0,15680.0,15376.0,0.0,15722.0,15255.0
N0007,"723050,2","6611831,38","723439,4",6611117,15681.0,15680.0,15376.0,0.0,15722.0,15255.0
N0007,"723439,4",6611117,"723570,01","6610944,06",15681.0,15680.0,15376.0,0.0,15722.0,15255.0
N0007,"723570,01","6610944,06","727354,72","6601033,23",13841.0,13769.0,13187.0,0.0,13471.0,13007.0
N0007,"727354,72","6601033,23","727852,27","6600190,32",13841.0,13769.0,13187.0,0.0,13471.0,13007.0
N0007,"727852,27","6600190,32","727878,21","6600130,14",13841.0,13769.0,13187.0,0.0,13471.0,13007.0
N0007,"727878,21","6600130,14","727866,24","6599878,25",13841.0,13769.0,13187.0,0.0,13471.0,13007.0
N0007,"727866,24","6599878,25","727867,9","6599576,48",13841.0,13769.0,13187.0,0.0,13471.0,13007.0
N0007,"727867,9","6599576,48","727976,2","6599032,72",8905.0,8819.0,8620.0,0.0,9287.0,9041.0
N0007,"727976,2","6599032,72","727984,5","6594348,03",8905.0,8819.0,8620.0,0.0,9287.0,9041.0
N0007,"727984,5","6594348,03","727761,8","6593253,65",8905.0,8819.0,8620.0,0.0,9287.0,9041.0
N0007,"727761,8","6593253,65","727722,54","6593046,42",8905.0,8819.0,8620.0,0.0,9287.0,9041.0
N0007,"727722,54","6593046,42","727218,57",6591115,8905.0,8819.0,8620.0,0.0,9287.0,9041.0
N0007,"727218,57",6591115,"727465,62","6587850,27",8905.0,8819.0,8620.0,0.0,9287.0,9041.0
N0007,"727465,62","6587850,27","727546,8","6587484,83",8905.0,8819.0,8620.0,0.0,9287.0,9041.0
N0007,"727546,8","6587484,83","729377,98","6582414,23",8905.0,8819.0,8620.0,0.0,9287.0,9041.0
N0007,"729377,98","6582414,23","729715,21","6581290,58",8905.0,8819.0,8620.0,0.0,9287.0,9041.0
